foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
July 2003|July 2003|Report 33611|Air National Guardsman describes being ushered out of the woods culminating in a nighttime sighting from his car near the Presque Isle Lighthouse|Presque Isle County|2003-07-15|-83.4885|45.351
May 2009|May 2009|Report 35282|Close encounter experienced while waiting for the school bus near Marion|Osceola County|2009-05-04|-85.2165|44.1305
July 2006|July 2006|Report 35387|Late afternoon sighting by two brothers near Baldwin|Lake County|2012-07-15|-85.92196|44.0559
1969-1979|1969-1979|Report 37553|Multiple childhood interactions recalled by a woman who grew up near Kalamazoo|Kalamazoo County|1974-03-15|-85.6885|42.225
April 2012|April 2012|Report 40204|Daylight sighting by a young man fishing near Whittemore|Iosco County|2013-04-11|-83.89001|44.2725
October 1984?|October 1984?|Report 43798|Memory told of an early evening sighting at a migrant work camp in Bear Lake|Manistee County|1984-10-01|-86.19037|44.38367
October 2000|October 2000|Report 45572|Teens shining for deer have a scary encounter near Kingsley|Wexford County|2000-10-21|-85.51546|44.50587
May 2002|May 2002|Report 4379|Two witnesses have a daylight encounter in their camp near Spring Valley|Fillmore County|2002-05-19|-92.36145|43.80075
July 2004|July 2004|Report 9012|Vocalizations heard and animal observed near Hibbing.|St. Louis County|2004-07-17|-93.02428|47.27147
October 2005|October 2005|Report 13049|Daylight sighting by squirrel hunter near Spring Valley|Fillmore County|2005-10-08|-92.36145|43.80075
May 2000|May 2000|Report 16566|Dusk sighting by cyclist north of the town of Virginia|St. Louis County|2006-11-10|-92.53|47.5754
February 2000|February 2000|Report 17551|Daylight sighting by a couple, on a frozen lake near Centerville.|Anoka County|2000-02-21|-93.06226|45.1836
August 1992|August 1992|Report 25323|A family is chased by a sasquatch near Wadena.|Wadena County|1992-08-15|-95.11484|46.50385
April 2006|April 2006|Report 25336|Daylight sighting of a creature walkng down the road as they pull out of their driveway near Bermidji|Beltrami County|2010-12-04|-94.98708|47.43842
November 1970|November 1970|Report 28711|Memory told of seeing an upright figure walk into a shooting lane while hunting near Nashwauk|Itasca County|1970-11-01|-93.25262|47.52522
August 2009|August 2009|Report 31166|Husband and wife experience an up-close daylight sighting on Hwy. 7 north of Bovey|Itasca County|2009-08-16|-93|47.5
September 2012|September 2012|Report 43975|Daylight sighting while scouting hunting locations near Skibo|St. Louis County|2012-09-03|-92.01759|47.4284
August 1977|August 1977|Report 496|Campers see large figure cross river in moonlight|Crawford County|1977-08-15|-91.432|37.8597
June 1986|June 1986|Report 1099|Campsite intrusion near river.|Camden County|1986-06-15|-92.97639|38.04414
June 1997|June 1997|Report 1118|Witness saw man-like creature in a corn field.|Marion County|1997-06-15|-91.6533|39.8397
June 1971|June 1971|Report 1120|Sasquatch encountered standing by porch|Oregon County|1971-06-01|-91.2|36.6
1991|1991|Report 1135|A man gathering firewood for his campsite with his ATV encounters a large ape-like animal in a creek bed|Pike County|1991-03-31|-91.09014|39.29007
July 1972|July 1972|Report 1136|Creature seen stepping over four foot barbed wire fence near the town of Louisiana|Pike County|1972-07-15|-91.093|39.3735
1989|1989|Report 1138|Family witness a 7-8 foot tall creature, covered with hair, standing in the middle of the road|Pulaski County|1989-02-15|-92.20055|37.82861
July 1982|July 1982|Report 1141|Two six foot tall creatures seen by witness.|St. Clair County|1982-07-15|-93.5577|38.0944
1977|1977|Report 1148|Family camping encounter large, fur covered creature. Footprints are discovered at the campsite|St. Clair County|1977-08-15|-93.8794|37.9939
May 2000|May 2000|Report 1150|Ape-like creature seen by a motorist crossing the road and enter a wooded area near Ozora, Missouri|Ste. Genevieve County|2000-05-31|-90.0329|37.8602
October 1956|October 1956|Report 1158|Child encounters a man-like creature in a shed.|Washington County|1956-10-15|-90.7517|38.039
August 1976|August 1976|Report 1356|Husband and wife observe sasquatch at river's edge|St. Charles County|1976-08-01|-90.675|38.655
June 1988|June 1988|Report 2036|Multiple witnesses encounter bad smell, three observe creature hiding behind sapling|Greene County|1988-06-01|-93.13545|37.07354
September 1977|September 1977|Report 2180|Two sisters witness bipedal animal walk through yard|Lawrence County|1977-09-01|-93.71506|37.11433
October 1975|October 1975|Report 3483|Nighttime sighting outside farm house, west of Prairie Home (the town) near Pisgah Creek|Cooper County|1975-10-15|-92.59781|38.81124
May 1982|May 1982|Report 4421|Soldier in basic training has daylight sighting at Fort Leonard Wood.|Pulaski County|1982-05-15|-92.173|37.714
app. 1985|app. 1985|Report 5085|Family has nighttime sighting near Gainesville.|Ozark County|2004-12-05|-92.425|36.615
August 2002|August 2002|Report 5286|Meteor watchers see large two-legged dark creature approach vehicle near Springfield|Greene County|2002-08-09|-93.4303|37.0968
August 1991|August 1991|Report 5552|Youth bicyclist has daytime sighting near Gravois Mills.|Morgan County|2004-11-20|-92.8254|38.3085
April 2003|April 2003|Report 6194|Two decades separate sightings of father and son at farm|Gasconade County|2003-04-11|-91.6253|38.28
June 1984|June 1984|Report 7766|Motorist has daylight sighting near Marceline.|Chariton County|2004-11-21|-92.9282|39.7557
June 2004|June 2004|Report 8890|Truck driver has daylight sighting on country road near Marys Home.|Miller County|2004-12-05|-92.411|38.305
September 1974|September 1974|Report 9502|Young horse rider has daytime sighting near Ash Grove.|Greene County|2004-12-05|-93.614|37.3317
November 2004|November 2004|Report 9840|Nighttime sighting on country dirt road|Barry County|2004-12-06|-93.8232|36.8133
November 1959 or 60|November 1959 or 60|Report 9941|Couple has car shaken and sees large animal up close near Tebbetts.|Callaway County|2004-12-06|-91.96238|38.62
October 1997|October 1997|Report 10927|Bow hunter observes animal lying down in the Creve Coeur bottoms.|St. Louis County|2005-10-15|-90.52987|38.69428
July 1997|July 1997|Report 12470|Fisherman has daytime sighting west of Mt. Vernon|Lawrence County|1997-07-19|-93.894|37.117
April 1998|April 1998|Report 12528|Campers have a night-time encounter in Mark Twain National Forest|Ripley County|1998-04-25|-90.9525|36.66708
July 1975|July 1975|Report 15075|School teacher remembers his close encounter with a sasquatch while hunting near Cape Fair|Stone County|1975-07-15|-93.65774|36.67065
August 1960|August 1960|Report 15610|Children see creature emerging from abandoned barn near Caruthersville.|Pemiscot County|1960-08-15|-89.67815|36.00565
April 1999|April 1999|Report 16294|Mushroom hunter has early morning sighting near Festus.|Jefferson County|1999-04-15|-90.39488|38.22635
July 2006|July 2006|Report 18219|Motorist sighting near Missouri River Bluffs (@ Monkey Mountains)|Andrew County|2007-07-17|-94.856|39.859
1994|1994|Report 18278|Late night sighting by young couple in a parked car on a rural lane outside Kelso.|Scott County|1994-11-11|-89.6075|37.286
1986|1986|Report 18442|Memory told of being chased on a farm near Ava|Douglas County|1986-08-14|-92.7622|36.94109
April 2006|April 2006|Report 19695|Dusk sighting by motorist on Hwy 32 near Fair Play.|Cedar County|2007-04-15|-93.684|37.664
1969|1969|Report 22448|Early morning sighting near Scott City Diversion Canal|Scott County|1969-07-16|-89.55949|37.236
November 2005|November 2005|Report 23686|Two young men almost run into a large nighttime visitor north of Stockton Lake|Cedar County|2005-11-18|-93.82087|37.87153
October 1976|October 1976|Report 23836|Several incidents experienced by father and son outside St. Louis|St. Louis County|1976-10-20|-90.53249|38.73802
July 1967|July 1967|Report 24404|Woman recalls a very close encounter as a child on a farm near the Mark Twain National Forest|Howell County|1967-07-30|-92.09264|36.97061
August 2005|August 2005|Report 24879|Daylight sighting of a white-haired Bigfoot in a yard outside Lonedell|Franklin County|2005-08-25|-90.79886|37.79465
1961 1962|1961 1962|Report 26962|Childhood face to face encounter at dusk in the river bottoms of Bootheel|Pemiscot County|1961-10-15|-89.98725|36.06055
October 2009|October 2009|Report 27089|Nighttime sighting at City Lake Park outside Sullivan|Crawford County|2009-10-15|-91.16042|38.2081
January 2008|January 2008|Report 27125|Late night Winter sighting by pedestrian along W. Nifong Blvd. in Columbia|Boone County|2008-01-20|-92.36771|38.9099
January 1986|January 1986|Report 27410|Man recalls his brief daylight sighting outside Bloomfield|Stoddard County|1986-01-14|-89.86899|36.87593
September 1993|September 1993|Report 27785|Nighttime roadside sighting by a motorist outside Joplin|Newton County|2010-06-22|-94.52888|37.03575
October 1983|October 1983|Report 28080|Woman remembers evening sighting while driving on Hwy. T near Oxly|Ripley County|1983-10-25|-90.66216|38.21285
September 2010|September 2010|Report 28210|Three fishermen returning home late at night have close contact with a Bigfoot near Southwest City|McDonald County|2010-09-12|-94.60989|36.51627
June 1999|June 1999|Report 28689|Memory of a daylight sighting as a passenger on Old Hwy. 94 east of Jefferson City|Callaway County|1999-06-30|-92.07335|38.56724
October 1980|October 1980|Report 29980|Hunter remembers his lengthy daylight sighting through binoculars near Dora|Douglas County|1980-10-27|-92.3046|36.8109
October 1991|October 1991|Report 30573|Bowhunter recalls dusk encounter on creek dike near Oak Grove|Jackson County|1991-10-19|-94.16049|39.04035
November 2011|November 2011|Report 31201|Night road crossing observed near El Dorado Springs|Vernon County|2011-11-22|-94.11218|37.85524
September 2012|September 2012|Report 36572|Trucker has nighttime sighting outside the city of Nevada|Vernon County|2012-09-18|-94.6028|37.84203
November 1971|November 1971|Report 36761|Memory told of a close encounter while deer hunting east of Salem|Dent County|1971-11-17|-91.3012|37.39315
October 2012|October 2012|Report 36838|Man returns home at night to find a tall figure standing by his deer lick outside Farmington|St. Francois County|2012-10-15|-90.23058|37.40025
November 1982|November 1982|Report 40087|Man recalls encounters while camping with his hunting party south of Cabool|Douglas County|1982-11-15|-92.11988|37.02496
2012|2012|Report 40177|Early morning road crossing north of Branson|Taney County|2013-10-15|-93.14626|36.39835
March 2013|March 2013|Report 40306|Man observes with his binoculars a large hairy biped at the James A. Reed Wildlife Area|Jackson County|2013-03-08|-94.19245|38.5229
April 2013|April 2013|Report 41012|Two girls have a daytime close encounter on their family farm near Oak Grove|Lafayette County|2013-04-27|-94.59565|39.30745
June 2013|June 2013|Report 41395|Daylight sighting outside Grain Valley near the Monkey Mountain Park Reserve|Jackson County|2013-06-07|-94.1057|38.5992
August 1993|August 1993|Report 41427|Memory told of a nighttime close encounter in the Henning Conservation Area near Branson|Taney County|1994-08-23|-93.29459|36.66887
August 1979|August 1979|Report 43612|Woman recalls encounter she had as a youth on rural property north of Bethany|Harrison County|1979-08-01|-94.02478|40.39956
July 2014|July 2014|Report 45851|Motorist observes a large biped crossing US-33 at night near Plattsburg|Clinton County|2014-07-11|-94.40015|39.60238
1973|1973|Report 1338|Several incidents in the East Fork Community|Amite County|1973-01-01|-90.71574|31.1603
1950|1950|Report 1339|Creature seen by witnesses|Attala County|1950-01-01|-89.59135|33.10925
1975|1975|Report 1341|Family witness a large, hair covered creature eating food from their garden.|Hancock County|1975-07-01|-89.6111|30.2464
1977|1977|Report 1342|Child sees a large, dark face staring at him from the bushes.|Lauderdale County|1977-04-30|-88.74805|32.3372
1968|1968|Report 1344|while playing tag with several other children witness saw a white hairy creature.|Lowndes County|1978-08-06|-88.40335|33.50025
October 1997|October 1997|Report 1345|creature leaned on the hood of a car.|Panola County|1997-10-16|-89.845|34.31605
August 1975|August 1975|Report 4681|Nighttime sighting by teens, near Meridian|Lauderdale County|1975-08-14|-88.7496|32.2714
1997|1997|Report 4767|Brothers have nighttime sighting near Leaf River Wildlife Management Area|George County|2005-01-13|-89.0338|30.97675
January 1998|January 1998|Report 8732|Motorist has late night sighting of a light colored creature on rural highway|Bolivar County|2005-01-30|-90.8022|33.56555
November 1978-79|November 1978-79|Report 12122|Morning sighting by hunter in Homochitto National Forest near Knoxville|Franklin County|1979-11-28|-91.08505|31.39275
June 2004|June 2004|Report 12290|Motorists have early morning sighting near Enterprise|Clarke County|2004-06-15|-88.864|32.1806
January 2006|January 2006|Report 13494|Sundown sighting near Tishomingo State Park|Tishomingo County|2006-01-05|-88.19894|34.60905
October 1987|October 1987|Report 13918|Night time sighting by motorists on Highway 512 near Elwood (driver's observation)|Clarke County|1987-10-10|-88.77015|32.036
October 1987|October 1987|Report 14144|Night time sighting by motorists on Highway 512 near Elwood (passenger's observation)|Clarke County|1987-10-10|-88.77015|32.036
October 1979|October 1979|Report 27012|Witnesses tell of a sighting they had as teenagers outside Jackson - w/sketch by artist|Hinds County|1979-10-10|-90.19371|32.40191
June 1993|June 1993|Report 1454|Three backpackers see a large, massive upright animal running on two legs through the brush in Gallatin Nat'l Forest|Gallatin County|1993-06-03|-111.125|45.22417
1982|1982|Report 1517|Horse-riding witnesses see hairy bipedal animal cross trail on Blackfeet Reservation|Glacier County|1982-10-02|-113.1236|48.36139
1982|1982|Report 1519|Boys observe hairy man-like creature several times|Lewis And Clark County|1982-06-30|-112.7031|47.04333
August 1977|August 1977|Report 1530|Fly Fisherman sees a hairy bipedal creature while trout fishing|Lewis And Clark County|1977-08-16|-111.8861|46.76472
1977|1977|Report 1614|Young horseback rider has a face-to-face encounter in the Rattlesnake Wilderness Area|Missoula County|1977-07-14|-113.8381|46.97694
May 1989|May 1989|Report 1693|While scouting a timbered hill at 7000', hikers see a bipedal animal stand up &amp; walk away|Park County|1989-05-20|-110.3308|46.01833
1979|1979|Report 1695|Motorist sees long-haired upright animal walking across snow-covered road|Richland County|1979-12-31|-104.1922|47.70667
July 1999|July 1999|Report 2995|A van driver and passenger observe a large animal walking|Park County|2001-08-22|-110.8069|45.66722
July 1994|July 1994|Report 5627|Woman reports afternoon sighting|Lewis And Clark County|1994-07-12|-112.702|46.83285
July 1978|July 1978|Report 6170|Boy Scouts watch creature eating leaves along Dearborn River|Lewis And Clark County|2004-01-18|-111.9094|47.12806
March 2004|March 2004|Report 8999|Woman reports riverbank sighting|Sanders County|2004-03-14|-115.3903|47.62167
July 2004|July 2004|Report 9873|Woman reports sighting at the edge of backyard|Missoula County|2004-07-20|-114.0717|47.06032
September 1991|September 1991|Report 13383|Hunting guide recalls an encouter with a Bigfoot crouching behind a root ball in Bowls Creek|Ravalli County|1991-10-11|-113.1198|46.02962
October 2006|October 2006|Report 17292|Late night sighting by motorist near Decker Montana|Big Horn County|2007-01-15|-106.8331|45.0262
2005|2005|Report 21839|Trucker couple report daytime road-crossing sighting near Sula|Ravalli County|2005-09-20|-114.0125|45.82285
August 2007|August 2007|Report 25662|Hiker spots a bigfoot in the mountains east of Butte|Silver Bow County|2007-08-15|-112.4554|45.9754
January 2011|January 2011|Report 33257|Tow truck driver watches a creature drag an elk away from accident site south of Malta on Hwy. 191|Phillips County|2011-01-08|-108.6873|47.66724
May 2010/2011|May 2010/2011|Report 36281|Close daylight sighting by a fisherman near White Sulphur Springs|Meagher County|2010-05-29|-110.7781|46.76389
June 2012|June 2012|Report 40524|Photo taken of a possible print near Lake Esler and memory told of a daylight sighting near Deerhead Lake|Beaverhead County|2012-06-24|-112.9707|45.3705
October 1965|October 1965|Report 1939|Youth's presence startles unknown animal|Onslow County|1965-10-01|-77.2914|34.6894
April 1983|April 1983|Report 3332|Motorist slams on his brakes when a 4-5' brown shaggy creature steps in front of his car near Hendersonville|Henderson County|1983-04-15|-82.443|35.33975
1973|1973|Report 3333|Large creature turned and stared at couple|Macon County|1973-10-01|-83.28265|35.2483
October 1982|October 1982|Report 3335|Deer hunter witnesses a large, gorilla like animal|Pasquotank County|1982-10-01|-76.29115|36.3715
November 1994|November 1994|Report 3337|Woman witnesses a 7 foot tall, silver-black sasquatch while driving|Stanly County|1994-11-30|-80.26915|35.2256
1971 or 72|1971 or 72|Report 3439|Young boy startles creature under house porch.|Yadkin County|1971-10-01|-80.7704|36.09945
July 2002|July 2002|Report 4676|Nighttime sighting by a man and his sister on road near Smithfield.|Johnston County|2002-07-14|-78.4048|35.5311
November 1976|November 1976|Report 6267|Two young men are confronted in broad daylight by a large creature near Falcon|Sampson County|1976-11-15|-78.63611|35.18637
November 1983|November 1983|Report 7246|Hunter has daytime sighting near Shocco Creek|Warren County|1983-11-15|-78.09365|36.21335
August 1977|August 1977|Report 7393|Teenage boys have sighting at night near Lake Myers|Davie County|1977-08-15|-80.6282|35.91965
November 1997|November 1997|Report 8804|Man has afternoon sighting and finds scat on his property near Flat River|Person County|1997-11-15|-79.03025|36.31625
June 2004|June 2004|Report 8983|Campers have morning sighting in Uwharrie National Forest|Montgomery County|2004-06-12|-80.0616|35.4449
July 1999|July 1999|Report 9750|Motorist observes bipedal animal shaking a pecan tree near Camp LeJeune.|Onslow County|1999-07-16|-77.50434|34.53784
November 71' or 72'|November 71' or 72'|Report 10608|Deer hunter watches large upright walking animal on Butler Knob.|Cleveland County|1972-11-18|-81.5917|35.6267
July 2005-06|July 2005-06|Report 13492|Family describes incidents in Pisgah Nat. Forest ;  NC-06 Exped notes|Madison County|2005-07-05|-82.829|35.892
November 1989|November 1989|Report 13663|Daylight sighting by hunters near Windsor|Bertie County|1989-11-11|-76.946|35.998
March 1991|March 1991|Report 14801|Daylight sighting by fishermen on Broad River|Rutherford County|1991-03-15|-82.287|35.451
November 1991|November 1991|Report 15108|Adult recounters childhood sighting on Black Mountain|Buncombe County|1991-11-17|-82.321|35.618
June 1990|June 1990|Report 15492|Road-crossing sighting by motorist on Hwy 220 north of Candor|Montgomery County|1990-06-30|-79.75644|35.30773
September 1967|September 1967|Report 18516|Daylight sighting by farmer (and children) plowing field next to the Yadkin River|Davidson County|2007-04-09|-80.375|35.75
February 2005|February 2005|Report 24334|While training a U.S. Marine witnesses a large creature near Camp LeJuene|Onslow County|2005-02-10|-77.23759|34.40434
1979|1979|Report 26076|Woman recalls watching a bigfoot cross the road while riding with her mother near Rocky Mount|Nash County|1979-07-18|-77.90525|36.0089
August 1978|August 1978|Report 27908|Man recalls his 1978 close encounter with a large hair covered creature in Wilkesboro|Wilkes County|1978-08-24|-81.30889|36.31126
November 2010|November 2010|Report 29024|Daylight sighting of a bipedal animal by a motorist near Linville|Avery County|2010-11-09|-81.92929|35.88561
October 1995|October 1995|Report 30735|Hunter in tree stand recalls startling early morning observation near Ft. Bragg|Hoke County|1995-10-14|-79.21278|35.18083
September 2009|September 2009|Report 30757|Driver &amp; passenger observe late night road crossing near Spruce Pine|Mcdowell County|2009-09-30|-82.05008|35.85107
August 2011|August 2011|Report 30860|Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway|Yancey County|2011-08-21|-82.22121|35.75278
October 1983|October 1983|Report 31303|Early morning traveler recalls roadway sighting near Holly Ridge|Onslow County|1983-10-02|-77.53445|34.50917
July 2009|July 2009|Report 31994|Late night sighting by boy walking near Mills River|Henderson County|2009-07-20|-82.56715|35.41939
June 2013|June 2013|Report 41508|Motorist observes large hairy biped in the late afternoon near Taylorsville|Alexander County|2013-06-12|-81.03185|35.94647
November 2011|November 2011|Report 42999|Law Enforcement Officer observes large figure along river bank while hunting for deer near Pin Hook|Duplin County|2011-11-19|-77.85507|34.78052
April 1962|April 1962|Report 751|Hunter describes described being stalked near Minot|Ward County|2000-04-21|-101.3166|48.25422
February 2004|February 2004|Report 8165|Rash of sighting reports from multiple witnesses|Mountrail County|2004-02-22|-102.701|47.72964
August 2005|August 2005|Report 12562|Multiple witness sighting near White Shield|McLean County|2005-08-27|-101.8886|47.71188
1974|1974|Report 1149|Late Afternoon sighting by motorist near Blue Springs|Gage County|1974-09-30|-96.7432|40.1399
1979|1979|Report 1152|Hunter has evening sighting near Bazile Creek State Wildlife Management Area.|Knox County|1979-09-15|-97.97573|42.76609
1980|1980|Report 1155|Newspaper account of an encounter with an unknown creature near Salt Creek|Lancaster County|1980-06-30|-96.6824|40.84792
1975|1975|Report 7809|Teen has nighttime sighting near Fontenelle Forest|Sarpy County|2005-01-06|-95.88|41.134
August 2005|August 2005|Report 12482|Various sightings by residents near the Missouri River|Douglas County|2005-08-13|-95.92|41.238
December 1979|December 1979|Report 15615|Creature seen walking across pasture in daylight north of Grand Island|Howard County|2008-08-15|-98.22576|41.55099
1957|1957|Report 25012|Woman recalls an encounter as a child, in an alley in the town of Valentine|Cherry County|1957-09-18|-100.5501|42.87331
July 1996|July 1996|Report 25241|Nighttime sighting by a motorist on a road south of Crawford|Dawes County|1996-07-05|-103.398|42.5893
October 1969|October 1969|Report 2271|Night time sighting by New Brunswick resident near Lawrence Brook|Middlesex County|2005-12-11|-74.4611|40.478
1977|1977|Report 2750|Driving along a secluded road at night, couple's car almost strikes creature crossing road|Somerset County|2004-04-23|-74.6215|40.7446
October 1971|October 1971|Report 10046|Small group observed in a remote part of Essex County Swamp, around noon.|Essex County|1971-10-16|-74.2918|40.8959
2004|2004|Report 10918|Hunter has early morning encounter 8 miles north of Riverdale|Passaic County|2005-12-10|-74.321|41.08335
2003|2003|Report 11168|Late night sighting by motorists in Crosswicks|Burlington County|2005-12-10|-74.68135|40.16465
April 2005|April 2005|Report 12065|Group observes animal in daylight, one mile from Federal Hill near Riverdale|Morris County|2005-12-10|-74.3249|40.9934
July 1998|July 1998|Report 14143|Night sighting by motorists near Garden State Parkway, exit 52|Burlington County|1998-07-15|-74.43445|39.60835
August 1966|August 1966|Report 16308|Man describes sighting during teen years in Alaire State Park|Monmouth County|2006-10-18|-3706646|40.16471
November 1997|November 1997|Report 16701|Nighttime encounter at a garbage dumpster in Hamburg, near the Delware Water Gap.|Sussex County|1997-11-15|-74.59959|41.14652
February 2007|February 2007|Report 17550|Nighttime sighting by motorist near Mansfield|Warren County|2007-03-31|-74.85561|40.8192
April 2011|April 2011|Report 29139|Afternoon sighting while hiking at Mahlon Dickerson Reservation|Morris County|2013-02-15|-74.57013|41.01941
June 2000|June 2000|Report 1918|Nighttime sightings on Mescalero IR|Otero County|2001-08-06|-105.7395|33.27735
June 2002|June 2002|Report 4538|Early evening sighting in meadow near Narbona Pass in the Chuska Mountains|San Juan County|2002-06-15|-108.87|36.126
May 1983|May 1983|Report 8409|Sasquatch reaches into tent of adult camper|Rio Arriba County|1983-05-07|-106.8803|35.98475
July 2004|July 2004|Report 10114|A few witnesses see something reach through an open window in Mescalero N.M.|Otero County|2004-07-26|-105.7947|33.15405
September 2002|September 2002|Report 10266|Witness sees unknown animal cross dirt road near New Mexico State Route 264|McKinley County|2002-09-17|-108.8676|35.63736
January 2005|January 2005|Report 10349|Motorist has nighttime sighting below Raton Pass|Colfax County|2005-01-23|-104.4801|36.9934
January 2005|January 2005|Report 11109|Close range night time sighting by water hauler near Gobernador (on BLM land).|Rio Arriba County|2005-01-10|-107.3956|36.72065
December 2004|December 2004|Report 11526|Water hauler has late night encounter|Rio Arriba County|2004-12-15|-107.6021|36.7474
October 2003|October 2003|Report 11589|Mother and daughter see creature from the road|San Juan County|2003-10-19|-109.0612|36.39135
March 2002|March 2002|Report 12542|River guide sees skinny bigfoot at dusk|San Juan County|2002-03-16|-108.7608|36.81315
November 2005|November 2005|Report 12994|Man observes creature walking across road.|McKinley County|2005-11-03|-107.9978|35.58565
May 2009|May 2009|Report 26414|Daytime sighting by two men while driving near Narbona Pass|San Juan County|2009-05-12|-108.892|36.08089
February 2011|February 2011|Report 28886|Couple driving home has night time sighting near Tres Piedras|Taos County|2011-02-20|-105.9678|36.65339
March 2011|March 2011|Report 28964|Motorist has close-range encounter with large, hairy biped south of Thoreau|McKinley County|2011-03-07|-108.2034|35.37201
July 2011|July 2011|Report 34460|A large biped seen in headlights on a moonlit night in the Chuska Mountains|McKinley County|2011-07-16|-108.84|36.0605
October 2013|October 2013|Report 43399|Scientist skeptic has early morning encounter behind gas station near Las Vegas, NM|San Miguel County|2013-10-18|-105.2526|35.52162
September 1980|September 1980|Report 3455|Two security guards see a creature outside of Gold Hill|Storey County|1980-09-15|-119.6564|39.29056
August 1972|August 1972|Report 5697|Three boys encounter sasquatch in eroded terrain|Washoe County|1972-08-15|-119.6665|39.679
September 1984|September 1984|Report 5909|Two Hikers Have Close Encounter Near Genoa|Douglas County|1984-09-15|-119.8458|39.00056
October 2004|October 2004|Report 22386|Daylight sighting by Reno police officer and two friends on Boundary Peak Mtn.|Esmeralda County|2004-10-15|-118.325|37.8583
November 1979|November 1979|Report 7368|Morning sighting by deer hunter near Naples|Ontario County|2006-10-07|-77.4028|42.6153
March 2001-2004|March 2001-2004|Report 8953|Multiple observations over three year span|Delaware County|2003-03-01|-75.0116|42.36176
October 2000/2001|October 2000/2001|Report 10136|Close roadside observation of female upright animal along country road|Tioga County|2001-10-22|-75.64853|42.1174
August 1996|August 1996|Report 10289|Two people in canoe see creature on shoreline|Essex County|1996-08-15|-74.14589|44.26646
January 2003|January 2003|Report 11688|Husband and wife see animal near garbage dump|Orleans County|2003-01-15|-78.23962|43.34806
February 1998|February 1998|Report 11726|Witness has two encounters with an animal near Genesee River|Allegany County|1998-02-01|-77.93121|42.09785
August 1980|August 1980|Report 11841|Two young boys see crouching animal|Putnam County|1980-08-21|-73.7171|41.5036
May 2004|May 2004|Report 12388|Women sees tall animal pass by her bedroom window in morning daylight (8|Otsego County|2004-05-31|-75.3811|42.32921
September 2002|September 2002|Report 12709|Daylight sighting by hiker outside Middleport|Niagara County|2002-09-21|-78.54224|43.19501
October 2000|October 2000|Report 13288|Daylight sighting by turkey hunter near Napoli|Cattaraugus County|2004-10-15|-78.82683|42.15947
April 1979 or 80|April 1979 or 80|Report 13662|Daylight sighting near a railroad bed and the Canisteo River|Steuben County|1980-04-21|-77.60525|42.28045
August 1973|August 1973|Report 13874|Old sighting (1973) and recent vocalizations (2005/06) on the outskirts of Maryland (town)|Otsego County|1973-08-01|-74.8865|42.56379
April 1997|April 1997|Report 18122|Morning sighting by motorist at railroad crossing near Median|Orleans County|1997-04-15|-78.3253|43.22649
June 2009|June 2009|Report 26205|Young adult has daylight visual encounter of bipedal creature while driving near Rhinebeck|Dutchess County|2010-02-15|-73.87915|41.94512
September 2003|September 2003|Report 26566|Man observes tall, white hair-covered creature during a family gathering near Lake Ontario|Wayne County|2003-09-20|-76.89331|43.27314
November 2013|November 2013|Report 43285|Bow hunter with binoculars observes a tall Bigfoot with a smaller one near Amenia|Dutchess County|2013-11-09|-73.55858|41.87219
1994-95|1994-95|Report 359|Daylight sighting by motorcyclist near Atwater|Portage County|2000-08-01|-81.11642|40.98596
February 1977|February 1977|Report 374|Two women driving to work are surprised to see a very large hair covered biped running along the side of their car.|Noble County|1977-02-01|-81.27132|39.88653
July 1998|July 1998|Report 378|Sighting by woman visiting an old rural cemetery, near Logan|Hocking County|2000-07-11|-82.36887|39.58157
November 1982|November 1982|Report 841|Boy has several late night encounters near Sidney|Shelby County|1982-11-01|-84.18491|40.24354
August 1989|August 1989|Report 878|Hikers spot white bigfoot at Higbanks Park outside Columbus, OH|Delaware County|1989-08-15|-83.02854|40.15002
December 2000|December 2000|Report 1117|Daytime sighting by two witnesses, near Geneva, at the end of Timberwoods Rd|Ashtabula County|2000-12-28|-80.88494|41.72134
November 1980 or 81|November 1980 or 81|Report 1507|Witness hears loud noise outside bedroom window, observes bipedal animal running away|Jefferson County|1981-11-01|-80.77387|40.36957
1977|1977|Report 1625|Children have daytime close encounter near Sparta; UPDATED with Witness Sketch|Morrow County|1977-06-01|-82.69884|40.38609
September 1993|September 1993|Report 1750|Large furry head about 12 by 18 looked in the back door.|Clark County|1993-09-15|-83.95184|39.92104
October 1998|October 1998|Report 1751|Latenight encounter while camping, then morning vocalizations heard|Clark County|1998-10-15|-83.94906|39.85461
October 2000|October 2000|Report 1755|Driver sees a tall (about 7-8ft), fur covered biped along roadside|Clark County|2000-10-15|-83.96562|39.86096
November 2000|November 2000|Report 1756|Deer Hunter sees large, bipedal, fur covered man-like critter run by in early morning encounter|Clark County|2000-11-24|-83.96123|39.89216
February 2001|February 2001|Report 1851|Two men see see a hairy creature running into woods|Stark County|2001-02-24|-81.25768|40.77789
June 1978|June 1978|Report 2450|While hiking with friends, eleven year old girl almost runs into 6' hairy creature|Perry County|1978-06-01|-82.29162|39.78594
1982 or 83|1982 or 83|Report 2696|Nighttime sighting by three in car, on Sprucevale Rd. near Calcutta|Columbiana County|1982-06-15|-80.58332|40.70386
